location;Code;Year;Executions;Meningitis;Alzheimer;Parkinson;Nutritional_deficiencies;Malaria;Drowning;Interpersonal_violence;Maternal_disorders;HIV/AIDS;Drug_use_disorders;Tuberculosis;Cardiovascular_diseases;Lower_respiratory_infections;Neonatal_disorders;Alcohol_use_disorders;Self-harm;Exposure_to_forces_of_nature;Diarrheal;Environmental_heat_and_cold_exposure;Neoplasms;Conflict_and_terrorism;Diabetes_mellitus;Chronic_kidney;Poisonings;Protein-energy_malnutrition;Terrorism;Road_injuries;Chronic_respiratory;Cirrhosis_and_other_chronic liver;Digestive;Fire_heat_and_hot_substances;Acute_hepatitis;covid_death
Angola;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;408.0
Africa;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65507.0
Africa;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;163031.0
Albania;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1181.0
Australia;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;910.0
Austria;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9329.0
Angola;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1365.0
Asia;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;914735.0
Albania;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2036.0
Australia;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1346.0
Angola;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;130.0
Azerbaijan;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2641.0
Armenia;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2823.0
Aruba;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;132.0
Argentina;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73924.0
Armenia;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5151.0
Afghanistan;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5167.0
